Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1,208500,0.2352941176470588,3,0.20766773162939295,0.033419804155273555,1,1,3,3,0,4,0,5,2,2,0,5,0.6666666666666665,0.5,0.9492753623188417,0.8833333333333329,1,1,12,13,1,0.1225,2,4,2,2,4,4,2,0.12508858965272857,6,0.0,0.06421232876712328,0.14009819967266776,1,0,1,5,0.11977971546581001,0.4135593220338983,0.0,0.2592313489073097,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,2,0.5000000000000001,6,0.0,3,1,0.9965174129353236,2,0.5,0.38645980253878703,5,5,2,0.0,0.11151736745886655,0.0,0.0,0.0,0.0,3,2,1,0.0,0.09090909090909093,0.5,8,4
2,181500,0.0,3,0.25559105431309903,0.038795017411016854,1,1,3,3,0,2,0,24,1,2,0,2,0.5555555555555556,0.875,0.7536231884057969,0.43333333333333,1,1,8,8,2,0.0,3,4,1,2,4,1,0,0.1732813607370659,6,0.0,0.12157534246575341,0.2065466448445172,1,0,1,5,0.21294171638366224,0.0,0.0,0.17483044461190655,0.0,0.5,0.6666666666666666,0.0,0.375,0.3333333333333333,3,0.3333333333333334,6,0.3333333333333333,5,1,0.983084577114428,2,0.5,0.3244005641748942,5,5,2,0.3477246207701284,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,0.3636363636363637,0.25,8,4
3,223500,0.2352941176470588,3,0.21725239616613418,0.046507279908387676,1,1,0,3,0,4,0,5,2,2,0,5,0.6666666666666665,0.5,0.9347826086956523,0.8666666666666671,1,1,12,13,1,0.10125,2,4,2,2,4,3,2,0.08610914245216159,6,0.0,0.1857876712328767,0.15057283142389527,1,0,1,5,0.13446535107847638,0.41937046004842615,0.0,0.27354935945742276,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,2,0.3333333333333334,6,0.3333333333333333,5,1,0.9955223880597016,2,0.5,0.4287729196050776,5,5,2,0.0,0.07678244972577697,0.0,0.0,0.0,0.0,3,2,1,0.0,0.7272727272727274,0.5,8,4
4,140000,0.2941176470588235,3,0.19169329073482427,0.038561312486854106,1,1,0,3,0,0,0,6,2,2,0,5,0.6666666666666665,0.5,0.3115942028985508,0.3333333333333357,1,1,13,15,2,0.0,3,4,0,4,1,4,0,0.03827072997873848,6,0.0,0.23116438356164382,0.12373158756137481,1,2,1,5,0.14387333639284075,0.36610169491525424,0.0,0.2605501130369254,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,2,0.41666666666666674,6,0.3333333333333333,2,5,0.9940298507462688,3,0.75,0.4527503526093089,5,5,2,0.0,0.06398537477148081,0.4927536231884058,0.0,0.0,0.0,3,2,1,0.0,0.09090909090909093,0.0,8,0
5,250000,0.2352941176470588,3,0.268370607028754,0.06057631634298536,1,1,0,3,0,2,0,15,2,2,0,5,0.7777777777777777,0.5,0.9275362318840585,0.8333333333333357,1,1,12,13,1,0.21875,2,4,2,2,4,0,2,0.11605244507441531,6,0.0,0.20976027397260272,0.18739770867430444,1,0,1,5,0.18609453877925655,0.5099273607748184,0.0,0.35116804822908815,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,2,0.5833333333333335,6,0.3333333333333333,5,1,0.9950248756218907,2,0.75,0.5895627644569816,5,5,2,0.2240373395565928,0.15356489945155394,0.0,0.0,0.0,0.0,3,2,1,0.0,1.0,0.5,8,4
6,143000,0.17647058823529413,3,0.2715654952076677,0.05989857206291337,1,1,0,3,0,4,0,11,2,2,0,0,0.4444444444444445,0.5,0.8768115942028984,0.75,1,1,12,13,2,0.0,3,4,5,2,4,4,2,0.12969525159461376,6,0.0,0.0273972602739726,0.13027823240589198,1,0,1,5,0.10601193207893528,0.27409200968523,0.0,0.19366993217784478,0.3333333333333333,0.0,0.3333333333333333,0.5,0.125,0.3333333333333333,3,0.25,6,0.0,3,1,0.991542288557214,3,0.5,0.3385049365303244,5,5,2,0.046674445740956826,0.054844606946983544,0.0,0.6299212598425197,0.0,0.0,3,3,3,0.04516129032258065,0.8181818181818185,0.75,8,4
7,307000,0.0,3,0.23961661341853036,0.0410572810769123,1,1,3,3,0,4,0,21,2,2,0,2,0.7777777777777777,0.5,0.9565217391304355,0.9166666666666643,1,1,12,13,3,0.11625,2,4,2,0,4,0,2,0.24255846917080087,6,0.0,0.13570205479452055,0.27594108019639935,1,0,1,5,0.31206975676916016,0.0,0.0,0.2562170308967596,0.3333333333333333,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,2,0.41666666666666674,6,0.3333333333333333,2,1,0.9970149253731345,2,0.5,0.4485190409026798,5,5,2,0.2975495915985998,0.10420475319926874,0.0,0.0,0.0,0.0,3,2,1,0.0,0.6363636363636365,0.25,8,4
8,200000,0.2352941176470588,3,0.0,0.0424501624249223,1,1,0,3,0,0,0,14,4,2,0,5,0.6666666666666665,0.625,0.7318840579710155,0.38333333333333286,1,1,6,6,3,0.15,3,4,1,2,4,3,0,0.15219702338766833,1,0.02170963364993216,0.09246575342465753,0.1811783960720131,1,0,1,5,0.1773749426342359,0.47602905569007264,0.0,0.3308214016578749,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,3,0.41666666666666674,6,0.6666666666666666,5,1,0.9815920398009952,2,0.5,0.3413258110014104,5,5,2,0.2742123687281214,0.37294332723948814,0.41304347826086957,0.0,0.0,0.0,3,2,3,0.022580645161290325,0.9090909090909093,0.75,8,4
9,129900,0.17647058823529413,4,0.16293929712460065,0.022529154689289305,1,1,3,3,0,4,0,17,0,2,0,0,0.6666666666666665,0.5,0.42753623188405854,0.0,1,1,3,15,2,0.0,3,4,0,4,4,4,6,0.0,6,0.0,0.40753424657534243,0.155810147299509,1,2,1,1,0.15787058283616337,0.3641646489104116,0.0,0.2712886209495102,0.0,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,3,0.5000000000000001,2,0.6666666666666666,5,5,0.9606965174129355,3,0.5,0.3300423131170663,1,5,2,0.10501750291715288,0.0,0.3713768115942029,0.0,0.0,0.0,3,2,1,0.0,0.27272727272727276,0.5,8,0
10,118000,1.0,3,0.1597444089456869,0.028605482717520864,1,1,3,3,0,0,0,3,0,0,1,1,0.4444444444444445,0.625,0.4855072463768124,0.0,1,1,8,8,2,0.0,3,4,0,4,4,4,2,0.15077958894401133,6,0.0,0.059931506849315065,0.16219312602291328,1,0,1,5,0.17049105094079853,0.0,0.0,0.13997739261492087,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.6666666666666666,3,0.25,6,0.6666666666666666,5,1,0.9646766169154231,2,0.25,0.14456981664315938,2,5,2,0.0,0.007312614259597806,0.0,0.0,0.0,0.0,3,2,1,0.0,0.0,0.5,8,4
